Name,Line,Sentiment,Irony
Harry Potter,Come on!,0.0,[ 1.0520016  -0.29871398]
Hermione Granger,It doesn't realize it's free!,0.5,[ 1.0265287  -0.35719714]
Ron Weasley,That was brilliant! BRILLIANT!,1.0,[0.34610832 0.3182205 ]
Ron Weasley,Bloody hell.,-0.8,[0.68402314 0.09181969]
Harry Potter,We're dropping!,0.0,[ 1.2587466 -0.4658482]
Ron Weasley,I say we jump!,0.0,[ 1.5054982  -0.51653427]
Hermione Granger,When?,0.0,[ 1.9772674  -0.96961325]
Voldemort,"The boy has discovered our secret, Nagini. We must find out just how much he knows. We must return to our hiding places and see if the others are safe.",0.0999999999999999,[ 1.5874515  -0.90187615]
Harry Potter,He knows.,0.0,[0.24542613 0.41497195]
Hermione Granger,How is it you --,0.0,[ 2.0253348 -1.1942098]
Harry Potter,I saw him.,0.0,[0.64247537 0.01001038]
Hermione Granger,"You let him in! Harry, you can't --",0.0,[ 1.4483144 -0.7450816]
Harry Potter,"I can't always help it, Hermione!",0.0,[0.7240992  0.02363112]
Ron Weasley,Never mind! What did you see?,0.0,[ 1.8061141 -1.083567 ]
Harry Potter,He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.,0.09375,[ 0.95065373 -0.24068514]
Ron Weasley,What happens when he finds out four are gone?,0.0,[ 1.719743  -1.0018233]
Harry Potter,I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.,0.5,[ 1.0714654  -0.52625966]
Hermione Granger,What?,0.0,[ 1.4070889  -0.49027973]
Ron Weasley,What?,0.0,[ 1.4070889  -0.49027973]
Hermione Granger,You saw it?,0.0,[ 1.6824011 -0.7211252]
Hermione Granger,Tonight? But we have to plan. We have to figure out what --,0.0,[ 1.8974621 -1.0764356]
Harry Potter,"Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose.",0.1743589743589743,[ 1.1301636 -0.5096631]
Ron Weasley,'Fraid he's right. One problem: Snape's Headmaster now. We can't just walk in the front door.,0.2857142857142857,[ 1.8084576 -1.014916 ]
Harry Potter,We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.,-0.4,[ 1.7646226 -1.1759135]
Harry Potter,"There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected.",-0.375,[ 1.5666655  -0.86625606]
Ron Weasley,Maybe it's because of the Horcruxes. Maybe he's growing weaker. Maybe he's dying.,0.0,[ 1.5433728  -0.95400625]
Harry Potter,"No. It's more like he's wounded. If anything, he feels more",0.5,[ 1.5258397 -0.9105037]
Hermione Granger,They were ready for us.,0.2,[0.5585757 0.2977396]
Death Eater,"We know you're here, Potter. There's no getting away.",0.0,[ 1.6737312  -0.87126684]
Death Eater,Perhaps you need some convincing.,0.5,[ 1.1081029 -0.5144277]
Ron Weasley,What's he mean by that?,-0.3125,[ 2.033201  -1.1892617]
Hermione Granger,"No, you'll give us away.",0.0,[ 1.1673685  -0.39467868]
Harry Potter,Expecto Patronum!,0.0,[ 1.1351334  -0.34580374]
Aberforth Dumbledore,"In here, Potter.",0.0,[ 1.2802886  -0.45666227]
Ron Weasley,Did you get a look at him! Fora second I thought it was --,0.0,[ 1.5575851 -0.7951916]
Hermione Granger,I know.,0.0,[0.3627474  0.27165455]
Hermione Granger,Harry! I can see you! In here!,0.0,[ 1.7329416 -1.0279944]
Aberforth Dumbledore,You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --,-0.8,[ 1.688304  -1.0251151]
Harry Potter,You're Aberforth.,0.0,[0.07337481 0.5783196 ]
Harry Potter,Dumbledore's brother. It's you I've been seeing -- here. It's,0.0,[ 1.4459653 -0.7594728]
Aberforth Dumbledore,Where've you left him?,0.0,[ 2.1916263 -1.3539404]
Harry Potter,He's dead.,-0.2,[ 0.86775273 -0.09577002]
